Timestamp,Emotion,Probabilities
2025-09-04 13:47:17.453974,Happy,"[0.1588917374610901, 0.017986329272389412, 0.13725993037223816, 0.21760527789592743, 0.18441954255104065, 0.09136304259300232, 0.1924741417169571]"
2025-09-04 13:47:17.701558,Happy,"[0.190421462059021, 0.021397432312369347, 0.141424298286438, 0.30030062794685364, 0.16836541891098022, 0.057357121258974075, 0.12073361873626709]"
2025-09-04 13:47:17.744166,Sad,"[0.1494612693786621, 0.015403695404529572, 0.2202257364988327, 0.06446073204278946, 0.2744111716747284, 0.053168885409832, 0.22286850214004517]"
2025-09-04 13:47:17.905723,Happy,"[0.16205111145973206, 0.018546676263213158, 0.13576067984104156, 0.23974394798278809, 0.18407109379768372, 0.08034849911928177, 0.1794780045747757]"
2025-09-04 13:47:18.833279,Happy,"[0.1795787215232849, 0.021495560184121132, 0.14261466264724731, 0.27580443024635315, 0.2110830396413803, 0.038149796426296234, 0.1312738060951233]"
2025-09-04 13:47:18.874152,Sad,"[0.18484492599964142, 0.019506927579641342, 0.20207305252552032, 0.0510551854968071, 0.4111485183238983, 0.006490685977041721, 0.12488067895174026]"
2025-09-04 13:47:19.021619,Happy,"[0.17602398991584778, 0.020185593515634537, 0.15011654794216156, 0.2631604075431824, 0.20280684530735016, 0.04659990593791008, 0.1411067098379135]"
2025-09-04 13:47:19.061141,Sad,"[0.15910182893276215, 0.016445033252239227, 0.21638835966587067, 0.057487282902002335, 0.30688565969467163, 0.03642905503511429, 0.20726278424263]"
2025-09-04 13:47:19.243966,Sad,"[0.19742265343666077, 0.020219407975673676, 0.1519387811422348, 0.1081954836845398, 0.3061300814151764, 0.020999575033783913, 0.195094034075737]"
2025-09-04 13:47:19.282883,Happy,"[0.14700858294963837, 0.017303666099905968, 0.12306278198957443, 0.3407415747642517, 0.1762116700410843, 0.044440802186727524, 0.1512308567762375]"
2025-09-04 13:47:19.321435,Sad,"[0.1621205061674118, 0.016334855929017067, 0.22113962471485138, 0.05329560115933418, 0.30661261081695557, 0.033532414585351944, 0.2069644182920456]"
2025-09-04 13:47:19.471389,Happy,"[0.1644788384437561, 0.018709536641836166, 0.14446991682052612, 0.20607732236385345, 0.1991860419511795, 0.07985147833824158, 0.18722693622112274]"
2025-09-04 13:47:19.511803,Sad,"[0.17293007671833038, 0.01891888864338398, 0.2230158895254135, 0.0744430273771286, 0.33994758129119873, 0.019009597599506378, 0.15173493325710297]"
2025-09-04 13:47:19.553323,Fear,"[0.15827517211437225, 0.01589115522801876, 0.26272714138031006, 0.05354349687695503, 0.26061001420021057, 0.054492391645908356, 0.1944606453180313]"
2025-09-04 13:47:19.591731,Sad,"[0.1484309732913971, 0.01549836341291666, 0.24535337090492249, 0.058791715651750565, 0.27723193168640137, 0.05176842585206032, 0.2029252052307129]"
2025-09-04 13:47:19.728958,Happy,"[0.17116452753543854, 0.01931828074157238, 0.15077060461044312, 0.20855820178985596, 0.20293600857257843, 0.07229139655828476, 0.17496095597743988]"
2025-09-04 13:47:19.769499,Sad,"[0.16825160384178162, 0.018548620864748955, 0.2238629311323166, 0.08116926997900009, 0.3025309443473816, 0.03503292426466942, 0.1706036776304245]"
2025-09-04 13:47:19.808944,Surprise,"[0.06662505120038986, 0.006996074691414833, 0.23386411368846893, 0.06609272956848145, 0.09765853732824326, 0.3239970803260803, 0.2047664225101471]"
2025-09-04 13:47:19.942524,Sad,"[0.17798656225204468, 0.02073570154607296, 0.1553940623998642, 0.20718485116958618, 0.22819815576076508, 0.05090897157788277, 0.1595916599035263]"
2025-09-04 13:47:19.983223,Sad,"[0.15495094656944275, 0.01570155657827854, 0.21624301373958588, 0.05060859024524689, 0.3175436556339264, 0.03154082968831062, 0.2134113609790802]"
2025-09-04 13:47:20.144580,Happy,"[0.18133582174777985, 0.02204325795173645, 0.1444190889596939, 0.28688040375709534, 0.22180309891700745, 0.027391213923692703, 0.11612705141305923]"
2025-09-04 13:47:20.310822,Happy,"[0.2013665735721588, 0.0257574450224638, 0.1528928130865097, 0.26747041940689087, 0.2654098868370056, 0.010707824490964413, 0.07639505714178085]"
2025-09-04 13:47:20.350765,Fear,"[0.121187724173069, 0.011901059187948704, 0.253345787525177, 0.03465806692838669, 0.24824467301368713, 0.07853629440069199, 0.2521263659000397]"
2025-09-04 13:47:20.495371,Happy,"[0.16098462045192719, 0.018313130363821983, 0.14575545489788055, 0.21210232377052307, 0.202516570687294, 0.07314412295818329, 0.1871836632490158]"
2025-09-04 13:47:20.535116,Neutral,"[0.13037964701652527, 0.012724713422358036, 0.22027993202209473, 0.03737402707338333, 0.2666342854499817, 0.06508870422840118, 0.2675187289714813]"
2025-09-04 13:47:20.663324,Sad,"[0.1887551099061966, 0.022489631548523903, 0.16278775036334991, 0.20462319254875183, 0.2530519366264343, 0.03337395191192627, 0.1349184513092041]"
2025-09-04 13:47:20.795128,Sad,"[0.19379796087741852, 0.02322341501712799, 0.1625179797410965, 0.2047038972377777, 0.2540436089038849, 0.032201845198869705, 0.12951131165027618]"
